Name,Address,City,County,State,Type Detailed,Population Count,Facility Operator,Facility Owner,Per Diem Rate Detailed,Last Inspection Standard,Last Inspection Rating - Final
South Central Regional Jail,1001 Centre Way,Charleston,Kanawha,WV,USMS IGA,8,COUNTY (CORRECTIONS),RJA,$56,NDS,Acceptable
South Louisiana Detention Center,3843 Stagg Avenue,Basile,Evangeline,LA,IGSA,490,GEO,COUNTY,$58.02,PBNDS 2008,Pending
South Texas Detention Complex,566 Veterans Drive,Pearsall,Frio,TX,CDF,1717,GEO,GEO,B4,PBNDS 2011,Pending
Stewart Detention Center,146 Cca Road,Lumpkin,Stewart,GA,DIGSA,1762,CCA,COUNTY,$62.03,PBNDS 2011,Meets Standard
Strafford County Corrections,266 County Farm Road,Dover,Strafford,NH,IGSA,39,COUNTY (CORRECTIONS),COUNTY,$83,PBNDS 2008,Meets Standard
Suffolk County House Of Corrections,20 Bradston Street,Boston,Suffolk,MA,IGSA,220,COUNTY (SHERIFF),COUNTY,$90,NDS,Acceptable
Sweetwater County Jail,50140 United States Highway 191 South,Rock Springs,Sweetwater,WY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$61.57,NDS,Acceptable
Teller County Jail,288 Weaverville Road,Divide,Teller,CO,IGSA,1,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
Tensas Parish Detention Center,8606 Hwy 65,Waterproof,Tensas,LA,IGSA,24,EMERALD,COUNTY,$46.76,NDS,Pending
Theo Lacy Facility,501 The City Drive South,Orange,Orange,CA,IGSA,435,COUNTY (SHERIFF),COUNTY,$118,PBNDS 2008,Pending
Tooele County Jail,47 South Main Street,Tooele,Tooele,UT,USMS IGA,0,COUNTY,,$48,NDS,Acceptable
Tri-County Detention Center,1026 Shawnee College Road,Ullin,Pulaski,IL,IGSA,176,COUNTY,COUNTY,$76,PBNDS 2008,Meets Standard
Tulsa County Jail (David L. Moss Justice Ctr),300 North Denver Avenue,Tulsa,Tulsa,OK,IGSA,105,COUNTY (SHERIFF),COUNTY,$54.13,NDS,Acceptable
Utah County Jail,3075 North Main Street,Spanish Fork,Utah,UT,IGSA,169,COUNTY (SHERIFF),COUNTY,$72.25,NDS,Pending
Val Verde Correctional Facility,253 Farm To Market 2523,Del Rio,Val Verde,TX,USMS IGA,1,GEO,COUNTY,$56,NDS,Acceptable
Virginia Peninsula Regional Jail,9320 Merrimac Trail,Williamsburg,James City,VA,USMS IGA,42,COUNTY,COUNTY,$62.37,NDS,Pending
Wake County Sheriff Department,330 South Salisbury Street,Raleigh,Wake,NC,IGSA,2,COUNTY (SHERIFF),COUNTY,$63.86,NDS,Acceptable
Wakulla County Jail,15 Oak Street,Crawfordville,Wakulla,FL,IGSA,55,COUNTY (SHERIFF),COUNTY,$79.66,NDS,Pending
Washington County Jail (Purgatory Correctional Fac,750 South 5400 West,Hurricane,Washington,UT,USMS IGA,2,COUNTY (SHERIFF),COUNTY,$58,NDS,Acceptable
Washoe County Jail,911 Parr Boulevard,Reno,Washoe,NV,USMS IGA,10,COUNTY (SHERIFF),COUNTY,$109,NDS,Pending
Wayne County Jail,7368 State Route 31,Lyons,Wayne,NY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
West Texas Detention Facility,401 S. Vaquero Ave.,Sierra Blanca,Hudspeth,TX,USMS IGA,510,EMERALD,COUNTY,$77,NDS,Pending
Western Tennessee Detention Facility,6299 Finde Naifeh Drive,Mason,Tipton,TN,USMS IGA,2,CCA,COUNTY,$102.83,PBNDS 2008,Pending
Whitfield County Jail,805 Professional Blvd,Dalton,Whitfield,GA,IGSA,1,COUNTY (SHERIFF),COUNTY,$41.03,NDS,Acceptable
Willacy Coregional Detention Facility,1601 Buffalo Drive,Raymondville,Willacy,TX,USMS IGA,0,M&TC,COUNTY,$96.09,NDS,Acceptable
Worcester County Jail,5022 Joyner Road,Snow Hill,Worcester,MD,IGSA,178,COUNTY (SHERIFF),COUNTY,$87.11,NDS,Acceptable
Yakima County Department Of Corrections,111 North Front Street,Yakima,Yakima,WA,USMS IGA,10,COUNTY (CORRECTIONS),COUNTY,$84.51,NDS,Acceptable
Yavapai County Detention Center,3505 West State Highway 260,Camp Verde,Yavapai,AZ,IGSA,0,COUNTY (SHERIFF),COUNTY,$59.5,NDS,Acceptable
York County Prison,1675-3A York Hwy,York,York,SC,USMS IGA,23,COUNTY (SHERIFF),COUNTY,$55,NDS,Acceptable
York County Prison,3400 Concord Road,York,York,PA,IGSA,667,COUNTY (SHERIFF),COUNTY,$83,PBNDS 2008,Pending
Yuba County Jail,215 5Th Street,Marysville,Yuba,CA,IGSA,197,COUNTY (SHERIFF),COUNTY,$75.16,NDS,Pending
Guadalupe County Jail,2615 N Guadalupe St,Seguin,Guadalupe,TX,,,,,,,
Wicomico County Corrections Center,411 W Naylor Mill Rd,Salisbury,Wicomico,MD,,,,,,,
